name,photo_url,price,currency,description,category,person_id,action_type
Kurtka zimowa,https://example.com/product_1.jpg,74,EUR,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,8,wymiana
Odkurzacz ręczny,https://example.com/product_2.jpg,11,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,8,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_3.jpg,72,Waluta Studencka,Zestaw na gotowy obiad.,Żywność,17,pożyczę
Odkurzacz ręczny,https://example.com/product_4.jpg,96,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,6,wymiana
Kawa rozpuszczalna (duże opakowanie),https://example.com/product_5.jpg,19,PLN,"Nowa, nieotwierana.",Żywność,7,pożyczę
Kawa rozpuszczalna (duże opakowanie),https://example.com/product_6.jpg,97,Waluta Studencka,"Nowa, nieotwierana.",Żywność,16,sprzedaż
Płyn do szyb + ściereczki,https://example.com/product_7.jpg,39,Waluta Studencka,Nowy zestaw do czyszczenia okien.,Środki Czystości,18,pożyczę
Zestaw sztućców,https://example.com/product_8.jpg,27,PLN,"Widelec, nóż, łyżka – wszystko w zestawie.",Akcesoria Kuchenne,2,wymiana
Płyn do mycia naczyń,https://example.com/product_9.jpg,38,PLN,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,14,wymiana
Kabel HDMI 2m,https://example.com/product_10.jpg,82,EUR,Nadaje się do podłączania laptopa do TV.,RTV,16,wymiana
Czajnik elektryczny 1.7L,https://example.com/product_11.jpg,13,EUR,"Używany, działa sprawnie.",Akcesoria Kuchenne,1,sprzedaż
Kurtka zimowa,https://example.com/product_12.jpg,32,Waluta Studencka,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,9,pożyczę
Słuchawki przewodowe Sony,https://example.com/product_13.jpg,47,Waluta Studencka,Działają bez zarzutu. Super do nauki.,RTV,2,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_14.jpg,33,Waluta Studencka,Zestaw na gotowy obiad.,Żywność,4,pożyczę
Kabel HDMI 2m,https://example.com/product_15.jpg,71,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,7,sprzedaż
Kabel HDMI 2m,https://example.com/product_16.jpg,73,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,6,wymiana
Makaron + sos pomidorowy,https://example.com/product_17.jpg,83,PLN,Zestaw na gotowy obiad.,Żywność,11,sprzedaż
